 TITLE = "CP"
 VARIABLES = i, XC, CP, CF, YPLUS
 ZONE T = " BL=           1 ,flg=           1  ",I=         100 ,J=           1
 87    0.85499012  4976.46875000 -2132.21020508     0.11591198
 88    0.86499155  5178.58398438 -1970.45556641     0.11142860
 89    0.87499273  5365.28710938 -1795.68041992     0.10637213
 90    0.88499385  5534.31835938 -1610.36999512     0.10073402
 91    0.89499497  5683.76171875 -1417.48498535     0.09450887
 92    0.90499586  5812.12890625 -1220.36804199     0.08769175
 93    0.91499674  5918.37109375 -1022.72802734     0.08027742
 94    0.92499751  6001.98046875  -828.59466553     0.07225774
 95    0.93499815  6062.99218750  -642.28833008     0.06361776
 96    0.94499874  6102.04101562  -468.44076538     0.05433012
 97    0.95499915  6120.37890625  -312.11264038     0.04434749
 98    0.96499956  6119.94921875  -179.12907410     0.03359668
 99    0.97499979  6104.05664062   -76.63974762     0.02197558
100    0.98499995  6080.07812500   -11.92298412     0.00866774
101    0.99500000  6061.08398438    14.97615242     0.00971434
 ZONE T = " BL=           1 ,flg=           3  ",I=         100 ,J=           1
  2    0.00500000  6061.08398438    14.98425388     0.00971696
  3    0.01500005  6047.18164062   -12.28363705     0.00879785
  4    0.02500020  6029.18945312   -76.47092438     0.02195134
  5    0.03500045  6019.96093750  -174.49827576     0.03315954
  6    0.04500080  6025.27929688  -296.17333984     0.04320022
  7    0.05500125  6046.08398438  -432.70739746     0.05221678
  8    0.06500181  6081.80859375  -578.16137695     0.06035836
  9    0.07500246  6131.47656250  -728.76092529     0.06776500
 10    0.08500321  6194.06640625  -882.26568604     0.07456116
 11    0.09500407  6268.70507812 -1037.50219727     0.08085511
 12    0.10500503  6354.78125000 -1193.99645996     0.08673901
 13    0.11500608  6451.95507812 -1351.69189453     0.09228940
 14    0.12500724  6560.13867188 -1510.75134277     0.09756845
 15    0.13500850  6679.46484375 -1671.38610840     0.10262456
 16    0.14500985  6810.22851562 -1833.80041504     0.10749517
 17    0.15501131  6952.84765625 -1998.11621094     0.11220786
 18    0.16501287  7107.83203125 -2164.35278320     0.11678228
 19    0.17501453  7275.73437500 -2332.43481445     0.12123212
 20    0.18501629  7457.14062500 -2502.18237305     0.12556610
 21    0.19501814  7652.65039062 -2673.33593750     0.12978955
 22    0.20502011  7862.85156250 -2845.56152344     0.13390504
 23    0.21502218  8088.32617188 -3018.47216797     0.13791342
 24    0.22502433  8329.62695312 -3191.63134766     0.14181405
 25    0.23502660  8587.27148438 -3364.58398438     0.14560579
 26    0.24502897  8861.74414062 -3536.85888672     0.14928694
 27    0.25503141  9153.48437500 -3707.97143555     0.15285552
 28    0.26503399  9462.86523438 -3877.44750977     0.15630969
 29    0.27503663  9790.22656250 -4044.83471680     0.15964794
 30    0.28503942 10135.83007812 -4209.69775391     0.16286899
 31    0.29504228 10499.91308594 -4371.63818359     0.16597207
 32    0.30504525 10882.61230469 -4530.28271484     0.16895677
 33    0.31504834 11284.02929688 -4685.31738281     0.17182346
 34    0.32505149 11704.22070312 -4836.45849609     0.17457284
 35    0.33505476 12143.16894531 -4983.46728516     0.17720613
 36    0.34505814 12600.82226562 -5126.16210938     0.17972526
 37    0.35506159 13077.09570312 -5264.39257812     0.18213235
 38    0.36506516 13571.84960938 -5398.05078125     0.18442993
 39    0.37506884 14084.92285156 -5527.08300781     0.18662117
 40    0.38507259 14616.14257812 -5651.44189453     0.18870898
 41    0.39507648 15165.28515625 -5771.13378906     0.19069685
 42    0.40508044 15732.14843750 -5886.17773438     0.19258818
 43    0.41508454 16316.48632812 -5996.61914062     0.19438651
 44    0.42508870 16918.08593750 -6102.51757812     0.19609541
 45    0.43509296 17536.70312500 -6203.92041016     0.19771792
 46    0.44509733 18172.10156250 -6300.90380859     0.19925736
 47    0.45510182 18824.04687500 -6393.54638672     0.20071685
 48    0.46510640 19492.32421875 -6481.91406250     0.20209919
 49    0.47511107 20176.71875000 -6566.05566406     0.20340666
 50    0.48511589 20877.02343750 -6646.00439453     0.20464128
 51    0.49512073 21593.05468750 -6721.73876953     0.20580398
 52    0.50500250 22315.33593750 -6792.50634766     0.20688450
 53    0.51488411 23052.47265625 -6859.38964844     0.20790055
 54    0.52488887 23813.92187500 -6922.91943359     0.20886111
 55    0.53489357 24590.18554688 -6982.25146484     0.20975423
 56    0.54489815 25381.11523438 -7037.36718750     0.21058044
 57    0.55490261 26186.50195312 -7088.18847656     0.21133944
 58    0.56490695 27006.13281250 -7134.61572266     0.21203046
 59    0.57491124 27839.76171875 -7176.54150391     0.21265252
 60    0.58491540 28687.15234375 -7213.84912109     0.21320456
 61    0.59491950 29548.03710938 -7246.40527344     0.21368511
 62    0.60492349 30422.15039062 -7274.05078125     0.21409233
 63    0.61492735 31309.17968750 -7296.61572266     0.21442413
 64    0.62493110 32208.80859375 -7313.91064453     0.21467811
 65    0.63493478 33120.66406250 -7325.74267578     0.21485169
 66    0.64493835 34044.37500000 -7331.91259766     0.21494214
 67    0.65494186 34979.51562500 -7332.20605469     0.21494643
 68    0.66494524 35925.65234375 -7326.39550781     0.21486124
 69    0.67494851 36882.29687500 -7314.22949219     0.21468279
 70    0.68495166 37848.91796875 -7295.45654297     0.21440710
 71    0.69495475 38824.96093750 -7269.82031250     0.21403006
 72    0.70495766 39809.85546875 -7237.01757812     0.21354665
 73    0.71496058 40802.89062500 -7196.74658203     0.21295166
 74    0.72496331 41803.44140625 -7148.68798828     0.21223944
 75    0.73496598 42810.72656250 -7092.44726562     0.21140294
 76    0.74496853 43823.95312500 -7027.63574219     0.21043479
 77    0.75497097 44842.25781250 -6953.78222656     0.20932613
 78    0.76497340 45864.67187500 -6870.38183594     0.20806707
 79    0.77497560 46890.21875000 -6776.83642578     0.20664573
 80    0.78497779 47917.70703125 -6672.44042969     0.20504788
 81    0.79497993 48945.89453125 -6556.44580078     0.20325778
 82    0.80498183 49973.40625000 -6427.90185547     0.20125541
 83    0.81498373 50998.58984375 -6285.73730469     0.19901742
 84    0.82498550 52019.64843750 -6128.73144531     0.19651613
 85    0.83498716 53034.46875000 -5955.44677734     0.19371806
 86    0.84498870 54040.58593750 -5764.24121094     0.19058295
 87    0.85499012 55035.14062500 -5553.24365234     0.18706232
 88    0.86499149 56014.72265625 -5320.34228516     0.18309763
 89    0.87499273 56975.30468750 -5063.22265625     0.17861849
 90    0.88499391 57912.09375000 -4779.37792969     0.17353961
 91    0.89499491 58819.42968750 -4466.17089844     0.16775699
 92    0.90499592 59690.50781250 -4121.00634766     0.16114417
 93    0.91499674 60517.35156250 -3741.51757812     0.15354541
 94    0.92499751 61290.49218750 -3325.90014648     0.14476633
 95    0.93499815 61998.79687500 -2873.54736328     0.13456190
 96    0.94499868 62629.34375000 -2385.93237305     0.12261455
 97    0.95499921 63167.53906250 -1867.87158203     0.10848919
 98    0.96499950 63597.25000000 -1329.32519531     0.09152264
 99    0.97499979 63897.70312500  -792.80273438     0.07067983
100    0.98500001 64039.75000000  -319.62060547     0.04487767
101    0.99500000 64022.70312500   -41.23215485     0.01611873
 ZONE T = " BL=           1 ,flg=           4  ",I=         100 ,J=           1
  2    0.00500000 -6263.05273438    41.24931335     0.01612210
  3    0.01500005 -4826.00195312   319.66229248     0.04488064
  4    0.02500020 -3548.05273438   792.89654541     0.07068408
  5    0.03500045 -2428.51367188  1329.46728516     0.09152762
  6    0.04500080 -1438.23437500  1868.06848145     0.10849500
  7    0.05500125  -556.44140625  2386.17285156     0.12262084
  8    0.06500181   233.01953125  2873.81958008     0.13456841
  9    0.07500246   944.71875000  3326.20825195     0.14477316
 10    0.08500321  1591.59765625  3741.84741211     0.15355232
 11    0.09500407  2184.78515625  4121.36083984     0.16115125
 12    0.10500503  2733.74218750  4466.53906250     0.16776405
 13    0.11500608  3246.47265625  4779.75585938     0.17354664
